"common_name","scientific_name"
"Alaska plaice","pleuronectes quadrituberculatus"
"Atka mackerel","pleurogrammus monopterygius"
"Kamchatka flounder","atheresthes evermanni"
"Pacific cod","gadus macrocephalus"
"Pacific halibut","hippoglossus stenolepis"
"Pacific herring","clupea pallasii"
"Pacific ocean perch","sebastes alutus"
"Rex sole","glyptocephalus zachirus"
"arrowtooth flounder","atheresthes stomias"
"dover sole","microstomus pacificus"
"english sole","parophrys vetulus"
"flathead sole","hippoglossoides elassodon"
"giant grenadier","albatrossia pectoralis"
"hardnose skates","rajidae"
"north pacific hake","merluccius productus"
"northern rock sole","lepidopsetta polyxystra"
"northern rockfish","sebastes polyspinis"
"pacific cod","gadus macrocephalus"
"pacific halibut","hippoglossus stenolepis"
"pacific ocean perch","sebastes alutus"
"pacific sanddab","citharichthys sordidus"
"pacific spiny dogfish","squalus suckleyi"
"rex sole","glyptocephalus zachirus"
"rock sole","lepidopsetta bilineata"
"sablefish","anoplopoma fimbria"
"sharpchin rockfish","sebastes zacentrus"
"shortraker rockfish","sebastes borealis"
"shortspine thornyhead","sebastolobus alascanus"
"splitnose rockfish","sebastes diploproa"
"spotted ratfish","hydrolagus colliei"
"starry flounder","platichthys stellatus"
"walleye pollock","gadus chalcogrammus"
"yellowfin sole","limanda aspera"
"yellowtail rockfish","sebastes flavidus"
