"common_name","scientific_name"
"arrowtooth flounder","atheresthes stomias"
"canary rockfish","sebastes pinniger"
"dover sole","microstomus pacificus"
"english sole","parophrys vetulus"
"flathead sole","hippoglossoides elassodon"
"giant grenadier","albatrossia pectoralis"
"north pacific hake","merluccius productus"
"north pacific spiny dogfish","squalus suckleyi"
"northern rock sole","lepidopsetta polyxystra"
"pacific cod","gadus macrocephalus"
"pacific hake","merluccius productus"
"pacific halibut","hippoglossus stenolepis"
"pacific ocean perch","sebastes alutus"
"pacific sanddab","citharichthys sordidus"
"pacific spiny dogfish","squalus suckleyi"
"redstripe rockfish","sebastes proriger"
"rex sole","glyptocephalus zachirus"
"rougheye/blackspotted rockfish complex","sebastes aleutianus/melanostictus complex"
"sablefish","anoplopoma fimbria"
"sharpchin rockfish","sebastes zacentrus"
"shortspine thornyhead","sebastolobus alascanus"
"silvergray rockfish","sebastes brevispinis"
"splitnose rockfish","sebastes diploproa"
"spotted ratfish","hydrolagus colliei"
"walleye pollock","gadus chalcogrammus"
"yellowmouth rockfish","sebastes reedi"
"yellowtail rockfish","sebastes flavidus"
